City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,San Juan,AR,-31.5375,-68.5364,55.27,69,100,15.57,overcast clouds
311,Vao,NC,-22.6667,167.4833,74.28,77,58,12.84,broken clouds
312,Kulu,TR,39.0951,33.0799,65.3,38,25,8.59,scattered clouds
313,Mahebourg,MU,-20.4081,57.7,74.25,56,75,8.05,broken clouds
314,Bambous Virieux,MU,-20.3428,57.7575,74.21,56,75,8.05,broken clouds
315,Todos Santos,MX,23.45,-110.2167,80.65,94,2,1.92,clear sky
316,Batagay-Alyta,RU,67.8006,130.4114,27.14,82,100,3.8,overcast clouds
317,Prescott,US,34.54,-112.4685,71.87,53,6,4.74,clear sky
318,Santa Fe,AR,-31.6333,-60.7,63.99,64,72,4.16,light rain
319,Ossora,RU,59.2353,163.0719,44.42,94,100,1.97,light rain
320,Sembakung,ID,3.8167,117.25,92.39,49,98,2.01,overcast clouds
321,Lanzhou,CN,36.0564,103.7922,72.9,30,0,3.69,clear sky
322,Tahta,EG,26.7693,31.5021,86.86,21,1,5.82,clear sky
323,Te Anau,NZ,-45.4167,167.7167,50.65,94,100,0.96,overcast clouds
324,Svetlogorsk,BY,52.6333,29.7333,48.43,94,99,3.53,overcast clouds
325,Carballo,ES,43.213,-8.691,60.01,94,100,5.59,overcast clouds
326,Alanya,TR,36.5438,31.9998,73.94,48,68,3.89,broken clouds
327,Mercedes,AR,-34.6515,-59.4307,52.65,58,12,10.45,few clouds
328,Ribeira Grande,PT,38.5167,-28.7,70.02,73,22,10.71,few clouds
329,Wahiawa,US,21.5028,-158.0236,76.77,73,12,6.15,few clouds
330,Beira,MZ,-19.8436,34.8389,75.29,88,40,6.44,scattered clouds
331,Kahului,US,20.8947,-156.47,79.84,79,13,4.0,few clouds
332,Cairns,AU,-16.9167,145.7667,93.07,59,18,13.8,few clouds
333,Yamada,JP,39.4667,141.95,66.45,64,100,13.11,overcast clouds
334,Khanpur,PK,28.6453,70.6567,92.28,34,0,14.29,clear sky
335,Prado,BR,-17.3411,-39.2208,72.43,91,2,9.53,clear sky
336,Ellisras,ZA,-23.6649,27.7443,69.26,67,1,14.97,clear sky
337,Port Blair,IN,11.6667,92.75,83.3,75,75,13.11,broken clouds
338,Fortuna,US,40.5982,-124.1573,53.98,89,61,3.4,broken clouds
339,Ulladulla,AU,-35.35,150.4667,67.1,91,100,13.8,light rain
340,Doha,QA,25.2867,51.5333,87.78,45,0,11.5,clear sky
341,Verkhniy Avzyan,RU,53.5289,57.5372,37.47,81,100,3.83,overcast clouds
342,Bathsheba,BB,13.2167,-59.5167,78.04,96,100,10.92,overcast clouds
